Power (W),w0 (um),FWHM (um),Distance between traps (um),Theta_x (deg),freq_x (MHz),freq_y (kHz),R_squared_x,R_squared_y,w0/distance
0.1,0.7142857142857143,0.5714285714285715,0.5072768277206675,40.750569491479126,0.7494628705516886,497.3912099974583,0.9991437435180608,0.9992176940094616,1.4080787358160907
1.6736842105263159,0.7142857142857143,0.5714285714285715,0.5072768303499662,40.750569491479126,3.06610399604625,2034.861549661447,0.9991437435180606,0.9992176940094605,1.4080787285177885
3.2473684210526317,0.7142857142857143,0.5714285714285715,0.5072768288191729,40.750569491479126,4.270865582894036,2834.417936315321,0.9991437435180607,0.9992176940094614,1.4080787327669033
4.821052631578947,0.7142857142857143,0.5714285714285715,0.507276827420138,40.750569491479126,5.203805522086202,3453.576196658903,0.9991437435180606,0.9992176940094615,1.4080787366502885
6.394736842105263,0.7142857142857143,0.5714285714285715,0.5072768266908758,40.750569491479126,5.993237120359524,3977.493187457861,0.9991437435180607,0.9992176940094614,1.408078738674545
7.968421052631578,0.7142857142857143,0.5714285714285715,0.507276838977187,40.750569491479126,6.690156228978114,4440.013083426351,0.9991437435180607,0.9992176939236865,1.4080787045706946
9.542105263157895,0.7142857142857143,0.5714285714285715,0.5072768290497153,40.750569491479126,7.321030629552675,4858.701377972758,0.9991437435180607,0.9992176940094613,1.4080787321269732
11.11578947368421,0.7142857142857143,0.5714285714285715,0.5072768278294773,40.750569491479126,7.90169531368488,5244.067371250143,0.9991437435180607,0.9992176940094615,1.408078735514061
12.689473684210526,0.7142857142857143,0.5714285714285715,0.5072768285513076,40.750569491479126,8.442516667460554,5602.990815913587,0.9991437435180607,0.9992176940094614,1.408078733510433
14.263157894736842,0.7142857142857143,0.5714285714285715,0.5072768293001868,40.750569491479126,8.95071991333353,5940.266795944211,0.9991437435180607,0.9992176940094611,1.4080787314317242
15.836842105263157,0.7142857142857143,0.5714285714285715,0.507276829504667,40.750569491479126,9.431579193198793,6259.395586607345,0.9991437435180606,0.999217694009461,1.4080787308641363
17.410526315789475,0.7142857142857143,0.5714285714285715,0.5072768302420657,40.750569491479126,9.889084134219756,6563.024961844523,0.9991437435180607,0.9992176940094606,1.4080787288172942
18.984210526315792,0.7142857142857143,0.5714285714285715,0.5072768252656257,40.750569491479126,10.326339350669823,6853.215314833269,0.9991437435180607,0.9992176940094606,1.4080787426306975
20.55789473684211,0.7142857142857143,0.5714285714285715,0.5072768194698114,40.750569491479126,10.745817041476984,7131.607369254892,0.9991437435180603,0.9992176940094506,1.4080787587184875
22.13157894736842,0.7142857142857143,0.5714285714285715,0.5072768269857947,40.750569491479126,11.149523874631576,7399.532900813291,0.9991437435180606,0.9992176940094614,1.4080787378559212
23.705263157894738,0.7142857142857143,0.5714285714285715,0.5072768266020898,40.750569491479126,11.539115289149514,7658.090577776963,0.9991437435180607,0.9992176756380894,1.4080787389209937
25.278947368421054,0.7142857142857143,0.5714285714285715,0.5072768281037925,40.750569491479126,11.915975855659807,7908.199174851881,0.9991437435180606,0.9992176940094615,1.4080787347526278
26.85263157894737,0.7142857142857143,0.5714285714285715,0.5072768284268424,40.750569491479126,12.281277613165386,8150.636643119055,0.9991437435180606,0.9992176940094615,1.4080787338559186
28.426315789473687,0.7142857142857143,0.5714285714285715,0.5072768268161271,40.750569491479126,12.636023045310544,8386.068281877382,0.9991437435180607,0.9992176940094614,1.4080787383268778
30.0,0.7142857142857143,0.5714285714285715,0.5072768266051983,40.750569491479126,12.981077695060986,8615.068466240971,0.9991437435180608,0.9992176940094613,1.4080787389123652
