Power (W),w0 (um),FWHM (um),Distance between traps (um),Theta_x (deg),freq_x (MHz),freq_y (kHz),R_squared_x,R_squared_y,w0/distance
6.0,1.0,0.7999999999999999,0.7101875580180829,29.1075496367708,2.96189511799445,1965.7019111077832,0.9991437435180609,0.9992176940094615,1.4080787373841008
6.0,1.0105263157894737,0.808421052631579,0.7176632154228555,28.804345994721103,2.9005103575545785,1924.9630802753347,0.9991437435180608,0.9992176940094613,1.4080787395436727
6.0,1.0210526315789472,0.8168421052631579,0.7251388748408911,28.50739397415697,2.841014293163416,1885.4777074113174,0.9991437435180607,0.9992176940094615,1.408078737749352
6.0,1.031578947368421,0.8252631578947368,0.7326145361907754,28.21650219891047,2.7833302165839555,1847.1948918102826,0.9991437435180608,0.9992176940094613,1.4080787322786539
6.0,1.0421052631578946,0.8336842105263157,0.7400901952289176,27.9314870251841,2.7273853108159893,1810.0662935494795,0.9991437435180608,0.9992176940094611,1.4080787313167424
6.0,1.0526315789473684,0.8421052631578947,0.7475658607067078,27.652172154932263,2.673110346890265,1774.046003379631,0.9991437435180607,0.9992176939973672,1.4080787182446615
6.0,1.063157894736842,0.8505263157894737,0.7550415102190631,27.378388272210163,2.6204395108928513,1739.0902605505416,0.9991437435180607,0.9992176940094615,1.4080787352054114
6.0,1.0736842105263156,0.8589473684210526,0.7625171678182605,27.109972700913982,2.569310216790563,1705.1576075897692,0.9991437435180607,0.9992176940094616,1.4080787369002807
6.0,1.0842105263157893,0.8673684210526315,0.7699927520627862,26.846769082458508,2.519662872013233,1672.2084979924964,0.9991437435180607,0.9992176940090738,1.4080788727052607
6.0,1.0947368421052632,0.8757894736842107,0.7774684867734907,26.588627072050244,2.471440773743357,1640.20522821761,0.9991437435180608,0.9992176940094614,1.4080787333882077
6.0,1.105263157894737,0.8842105263157896,0.7849441428572902,26.335402052316436,2.424589875013774,1609.1119955501547,0.9991437435180606,0.9992176940094614,1.4080787377703683
6.0,1.1157894736842107,0.8926315789473684,0.7924197781625971,26.08695486314364,2.3790586893219334,1578.8946104295435,0.9991437435180608,0.9992176940079602,1.4080787789918854
6.0,1.1263157894736842,0.9010526315789474,0.7998954623050745,25.843151546665663,2.3347980963131154,1549.5204598176738,0.9991437435180606,0.9992176940094615,1.408078733473444
6.0,1.1368421052631579,0.9094736842105264,0.807371119618192,25.603863106418757,2.2917612662614943,1520.9584828920226,0.9991437435180609,0.9992176940094616,1.4080787355891224
6.0,1.1473684210526316,0.9178947368421053,0.8148467792924554,25.368965279754363,2.249903495156899,1493.1790039473563,0.9991437435180608,0.9992176940094615,1.408078733585853
6.0,1.1578947368421053,0.9263157894736842,0.8223225511160832,25.13833832266569,2.209182107395951,1466.1536783251279,0.9991437435180608,0.9992176940077808,1.4080785395834912
6.0,1.168421052631579,0.9347368421052632,0.8297980171256893,24.91186680624528,2.169556321499838,1439.8554902012427,0.9991437435180607,0.9992176937690141,1.4080788680103564
6.0,1.1789473684210525,0.9431578947368421,0.8372737704137297,24.689439424046657,2.130987200753874,1414.2585875570444,0.9991437435180608,0.9992176938119918,1.4080787074441476
6.0,1.1894736842105262,0.9515789473684211,0.8447494136634496,24.470948809674567,2.0934375018599707,1389.3382212219951,0.9991437435180609,0.9992176940094614,1.4080787331382698
6.0,1.2,0.96,0.852225069970523,24.256291363975667,2.0568716109211933,1365.0707714707787,0.9991437435180606,0.9992176940094615,1.4080787368077612
